andar
1.3796,1.0732,-0.2346,1.7967,2.2074,-0.2311
3.0277,0.884,-1.6002,1.6029,2.1871,-0.2215
4.1296,0.8286,-2.7165,1.278,2.0668,-0.295
4.7093,0.673,-3.5045,0.8327,1.9997,-0.425
4.5753,0.9822,-4.0578,0.3736,1.7568,-0.5453
4.1368,1.6193,-4.1751,-0.0695,1.335,-0.6679
4.1368,1.6193,-4.1751,-0.911,0.5467,-0.9171
3.3752,3.5164,-4.3957,-0.911,0.5467,-0.9171
3.1238,4.5681,-4.5657,-1.3019,0.2761,-1.0513
3.1238,4.5681,-4.5657,-1.7909,-0.1115,-1.1877
2.2038,8.0822,-5.7203,-1.7909,-0.1115,-1.1877
1.3174,10.6263,-7.05,-1.7078,-0.2979,-1.1579
0.6108,13.0744,-9.1769,-1.3009,-0.4492,-1.0002
0.6946,14.3179,-11.0432,-0.7544,-0.4545,-0.7222
2.0793,14.416,-11.2659,-0.4849,-0.0487,-0.328
2.0793,14.416,-11.2659,-0.2197,1.5832,0.3579
4.7213,13.798,-10.3435,-0.2197,1.5832,0.3579
4.5274,12.6458,-9.1889,-0.2218,2.0519,0.4591
4.5274,12.6458,-9.1889,-0.324,0.9579,0.327
3.3991,11.3353,-6.5062,-0.1153,0.3688,0.2492
2.8434,9.783,-3.2004,0.3193,0.2505,0.1832
3.6122,8.5062,-1.8875,0.7049,0.3038,0.1672
4.9251,10.8155,-4.2305,0.7049,0.3038,0.1672
7.2056,13.1007,-3.3919,0.6687,0.2782,0.3792
8.1806,14.4998,0.7113,0.1137,0.2154,0.6934
4.2975,14.2529,3.6266,-0.2218,-0.0284,0.671
0.1436,12.6434,3.7274,-0.0332,-0.6761,0.5283
-0.1891,10.43,1.3389,0.2894,-0.396,0.637
0.5006,10.0011,0.2154,0.3576,-0.1392,0.7254
0.5006,10.0011,0.2154,-0.4029,-1.3346,0.1097
1.1905,8.2309,-3.5715,-0.4029,-1.3346,0.1097
1.9473,7.0236,-5.2292,-0.7832,-1.2941,-0.1406
1.9473,7.0236,-5.2292,-1.9613,-1.8427,-0.8745
0.1125,7.9984,-1.2838,-1.9613,-1.8427,-0.8745
0.1125,7.9984,-1.2838,-2.6347,-1.9886,-1.3911
-3.6218,10.2453,1.2384,-2.6347,-1.9886,-1.3911
-3.6218,10.2453,1.2384,-2.7316,-1.897,-1.078
-4.7863,10.5808,1.7965,-2.6965,-1.5913,-0.7531
-4.9898,9.7351,2.3427,-2.6965,-1.5913,-0.7531
-4.9898,9.7351,2.3427,-2.4376,-1.0512,0.083
0.0023,8.5493,1.8348,-2.4376,-1.0512,0.083
0.0023,8.5493,1.8348,-2.2862,-0.7966,0.3003
5.0784,8.7915,3.3057,-2.0998,-0.5078,-0.1054
5.2005,8.4943,1.909,-2.0998,-0.5078,-0.1054
5.2005,8.4943,1.909,-1.9805,0.1312,-0.5347
-0.067,7.0596,-1.6816,-1.9805,0.1312,-0.5347
-0.067,7.0596,-1.6816,-2.0561,-0.4418,-0.4548
0.0981,8.0965,-1.9258,-2.0561,-0.4418,-0.4548
-0.0814,7.9289,-1.423,-2.0817,-0.9042,-0.5677
-0.5988,7.4187,-0.6587,-2.0891,-1.3473,-0.6945
-0.9894,6.7552,0.5653,-2.0806,-1.6989,-0.7382
-1.0396,6.4365,1.7726,-2.0274,-1.9279,-0.67
-1.0396,6.4365,1.7726,-1.76,-1.9183,-0.3504
-0.6491,7.0883,2.2589,-1.76,-1.9183,-0.3504
-0.067,7.7877,1.6385,-1.6993,-1.5306,-0.1555
0.0454,8.1567,0.7161,-1.7376,-0.9553,0.0021
0.0407,8.4368,-0.4958,-1.8175,-0.3917,0.1267
-0.1508,8.7316,-1.0133,-1.9049,-0.0583,0.213
-0.0263,9.1721,-0.5366,-1.9997,-0.0487,0.2758
